sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Alzheimer's disease	Amyotrophic Lateral Sclerosis	2	NA	vumc
Alzheimer's disease	Multiple sclerosis	2	NA	vumc
Alzheimer's disease	Disorders of the autonomic nervous system	2	NA	vumc
Alzheimer's disease	Peripheral autonomic neuropathy	2	NA	vumc
Alzheimer's disease	Migrain with aura	2	NA	vumc
Alzheimer's disease	Other demyelinating diseases of central nervous system	2	NA	vumc
Alzheimer's disease	Other paralytic syndromes	2	NA	vumc
Alzheimer's disease	Nonspecific abnormal results of function study of brain and central nervous system	2	NA	vumc
Alzheimer's disease	Trigeminal nerve disorders [CN5]	2	NA	vumc
Alzheimer's disease	Nerve root lesions	2	NA	vumc
Alzheimer's disease	Corneal opacity	2	NA	vumc
Alzheimer's disease	Hypermetropia	2	NA	vumc
Alzheimer's disease	Anisometropia	2	NA	vumc
Alzheimer's disease	Psychophysical visual disturbances	2	NA	vumc
Alzheimer's disease	Superficial keratitis	2	NA	vumc
Alzheimer's disease	Other disorders of eyelids	2	NA	vumc
Alzheimer's disease	Scleritis and episcleritis	2	NA	vumc
Alzheimer's disease	Disorders of external ear	2	NA	vumc
Alzheimer's disease	Otorrhea	2	NA	vumc
Alzheimer's disease	Tympanosclerosis and middle ear disease related to otitis media	2	NA	vumc
Alzheimer's disease	Conductive hearing loss	2	NA	vumc
Alzheimer's disease	Degenerative and vascular disorders of ear	2	NA	vumc
Alzheimer's disease	Mitral valve stenosis and aortic valve stenosis	2	NA	vumc
Alzheimer's disease	Other acute and subacute forms of ischemic heart disease	2	NA	vumc
Alzheimer's disease	Pericarditis	2	NA	vumc
Alzheimer's disease	Second degree AV block	2	NA	vumc
Alzheimer's disease	Right bundle branch block	2	NA	vumc
Alzheimer's disease	Subarachnoid hemorrhage	2	NA	vumc
Alzheimer's disease	Aortic aneurysm	2	NA	vumc
Alzheimer's disease	Aneurysm of artery of lower extremity	2	NA	vumc
Alzheimer's disease	Peripheral angiopathy in diseases classified elsewhere	2	NA	vumc
Alzheimer's disease	Other specified peripheral vascular diseases	2	NA	vumc
Alzheimer's disease	Other disorders of arteries and arterioles	2	NA	vumc
Alzheimer's disease	Varicose veins of lower extremity	2	NA	vumc
Alzheimer's disease	Varicose veins of lower extremity, symptomtic	2	NA	vumc
Alzheimer's disease	Diseases of the larynx and vocal cords	2	NA	vumc
Alzheimer's disease	Paralysis/spasm of vocal cords or larynx	2	NA	vumc
Alzheimer's disease	Bronchopneumonia and lung abscess	2	NA	vumc
Alzheimer's disease	Chronic bronchitis	2	NA	vumc
Alzheimer's disease	Bronchiectasis	2	NA	vumc
Alzheimer's disease	Postinflammatory pulmonary fibrosis	2	NA	vumc
Alzheimer's disease	Respiratory insufficiency	2	NA	vumc
Alzheimer's disease	Reflux esophagitis	2	NA	vumc
Alzheimer's disease	Esophageal bleeding (varices/hemorrhage)	2	NA	vumc
Alzheimer's disease	Diverticulum of esophagus, acquired	2	NA	vumc
Alzheimer's disease	Heartburn	2	NA	vumc
Alzheimer's disease	Peptic ulcer, site unspecified	2	NA	vumc
Alzheimer's disease	Other specified gastritis	2	NA	vumc
Alzheimer's disease	Other disorders of stomach and duodenum	2	NA	vumc
Alzheimer's disease	Ventral hernia	2	NA	vumc
Alzheimer's disease	Incisional hernia	2	NA	vumc
Alzheimer's disease	Regional enteritis	2	NA	vumc
Alzheimer's disease	Ulcerative colitis	2	NA	vumc
Alzheimer's disease	Ulcerative colitis (chronic)	2	NA	vumc
Alzheimer's disease	Ileostomy status	2	NA	vumc
Alzheimer's disease	Paralytic ileus	2	NA	vumc
Alzheimer's disease	Diverticulosis and diverticulitis	2	NA	vumc
Alzheimer's disease	Other chronic nonalcoholic liver disease	2	NA	vumc
Alzheimer's disease	Liver abscess and sequelae of chronic liver disease	2	NA	vumc
Alzheimer's disease	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	2	NA	vumc
Alzheimer's disease	Calculus of bile duct	2	NA	vumc
Alzheimer's disease	Cholecystitis without cholelithiasis	2	NA	vumc
Alzheimer's disease	Cyst and pseudocyst of pancreas	2	NA	vumc
Alzheimer's disease	Nonspecific abnormal findings in stool contents	2	NA	vumc
Alzheimer's disease	Stricture/obstruction of ureter	2	NA	vumc
Alzheimer's disease	Calculus of ureter	2	NA	vumc
Alzheimer's disease	Urinary complications NEC	2	NA	vumc
Alzheimer's disease	Prostatitis	2	NA	vumc
Alzheimer's disease	Mastodynia	2	NA	vumc
Alzheimer's disease	Noninflammatory disorders of vagina	2	NA	vumc
Alzheimer's disease	Need for Hormone replacement therapy (postmenopausal)	2	NA	vumc
Alzheimer's disease	Premature menopause and other ovarian failure	2	NA	vumc
Alzheimer's disease	Cellulitis and abscess of trunk	2	NA	vumc
Alzheimer's disease	Impetigo	2	NA	vumc
Alzheimer's disease	Bullous dermatoses	2	NA	vumc
Alzheimer's disease	Cutaneous lupus erythematosus	2	NA	vumc
Alzheimer's disease	Other specified erythematous conditions	2	NA	vumc
Alzheimer's disease	Other specified diseases of hair and hair follicles	2	NA	vumc
Alzheimer's disease	Dyshidrosis	2	NA	vumc
Alzheimer's disease	Sicca syndrome	2	NA	vumc
Alzheimer's disease	Unspecified polyarthropathy or polyarthritis	2	NA	vumc
Alzheimer's disease	Other and unspecified disc disorder	2	NA	vumc
Alzheimer's disease	Other disorders of cervical region	2	NA	vumc
Alzheimer's disease	Fasciitis	2	NA	vumc
Alzheimer's disease	Other disorders of soft tissues	2	NA	vumc
Alzheimer's disease	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	2	NA	vumc
Alzheimer's disease	Aseptic necrosis of bone	2	NA	vumc
Alzheimer's disease	Flat foot	2	NA	vumc
Alzheimer's disease	Hallux rigidus	2	NA	vumc
Alzheimer's disease	Osteoporosis, osteopenia and pathological fracture	2	NA	vumc
Alzheimer's disease	Cardiac shunt/ heart septal defect	2	NA	vumc
Alzheimer's disease	Spondylolisthesis, congenital	2	NA	vumc
Alzheimer's disease	Muscular wasting and disuse atrophy	2	NA	vumc
Alzheimer's disease	Abnormal posture	2	NA	vumc
Alzheimer's disease	Symptoms involving skin and other integumentary tissue	2	NA	vumc
Alzheimer's disease	Elevated C-reactive protein (CRP)	2	NA	vumc
Alzheimer's disease	Papanicolaou smear of cervix or vagina with atypical squamous cells	2	NA	vumc
Alzheimer's disease	Joint/ligament sprain	2	NA	vumc
Alzheimer's disease	Complications of transplants and reattached limbs	2	NA	vumc
Alzheimer's disease	Complication due to other implant and internal device	2	NA	vumc
Alzheimer's disease	Open wound of neck	2	NA	vumc
Alzheimer's disease	Open wound of finger(s)	2	NA	vumc
Alzheimer's disease	Open wound of foot except toe(s) alone	2	NA	vumc
Alzheimer's disease	Traumatic amputation	2	NA	vumc
Alzheimer's disease	Dermatitis due to solar radiation	2	NA	vumc
Alzheimer's disease	Anaphylactic shock NOS	2	NA	vumc
Alzheimer's disease	Poisoning/allergy of sulfonamides	2	NA	vumc
Alzheimer's disease	Adrenal cortical steroids causing adverse effects in therapeutic use	2	NA	vumc
Alzheimer's disease	Opiates and related narcotics causing adverse effects in therapeutic use	2	NA	vumc
Alzheimer's disease	Viral Enteritis	1	NA	vumc
Alzheimer's disease	Herpes simplex	1	NA	vumc
Alzheimer's disease	Dermatophytosis / Dermatomycosis	1	NA	vumc
Alzheimer's disease	Dermatomycoses	1	NA	vumc
Alzheimer's disease	Cancer of mouth	1	NA	vumc
Alzheimer's disease	Cancer of tongue	1	NA	vumc
Alzheimer's disease	Cancer of the gums	1	NA	vumc
Alzheimer's disease	Cancer of nasopharynx	1	NA	vumc
Alzheimer's disease	Cancer of hypopharynx	1	NA	vumc
Alzheimer's disease	Cancer of esophagus	1	NA	vumc
Alzheimer's disease	Cancer of stomach	1	NA	vumc
Alzheimer's disease	Malignant neoplasm of rectum, rectosigmoid junction, and anus	1	NA	vumc
Alzheimer's disease	Cancer of liver and intrahepatic bile duct	1	NA	vumc
Alzheimer's disease	Pancreatic cancer	1	NA	vumc
Alzheimer's disease	Malignant neoplasm of small intestine, including duodenum	1	NA	vumc
Alzheimer's disease	Malignant neoplasm of gallbladder and extrahepatic bile ducts	1	NA	vumc
Alzheimer's disease	Malignant neoplasm of ovary and other uterine adnexa	1	NA	vumc
Alzheimer's disease	Malignant neoplasm of unspecified male genital organ	1	NA	vumc
Alzheimer's disease	Malignant neoplasm of testis	1	NA	vumc
Alzheimer's disease	Cancer of kidney and renal pelvis	1	NA	vumc
Alzheimer's disease	Cancer of eye	1	NA	vumc
Alzheimer's disease	Cancer of brain and nervous system	1	NA	vumc
Alzheimer's disease	Cancer of brain	1	NA	vumc
Alzheimer's disease	Thyroid cancer	1	NA	vumc
Alzheimer's disease	Secondary malignant neoplasm of skin	1	NA	vumc
Alzheimer's disease	Polycythemia vera	1	NA	vumc
Alzheimer's disease	Reticulosarcoma	1	NA	vumc
Alzheimer's disease	Leukemia	1	NA	vumc
Alzheimer's disease	Lymphoid leukemia, chronic	1	NA	vumc
Alzheimer's disease	Myeloid leukemia, chronic	1	NA	vumc
Alzheimer's disease	Benign neoplasm of respiratory and intrathoracic organs	1	NA	vumc
Alzheimer's disease	Nevus, non-neoplastic	1	NA	vumc
Alzheimer's disease	Benign neoplasm of ovary	1	NA	vumc
Alzheimer's disease	Benign neoplasm of other female genital organs	1	NA	vumc
Alzheimer's disease	Benign neoplasm of eye, uveal	1	NA	vumc
Alzheimer's disease	Benign neoplasm of thyroid glands	1	NA	vumc
Alzheimer's disease	Benign neoplasm of adrenal gland	1	NA	vumc
Alzheimer's disease	Benign neoplasm of parathyroid gland	1	NA	vumc
Alzheimer's disease	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	1	NA	vumc
Alzheimer's disease	Simple and unspecified goiter	1	NA	vumc
Alzheimer's disease	Nontoxic nodular goiter	1	NA	vumc
Alzheimer's disease	Graves' disease	1	NA	vumc
Alzheimer's disease	Hypothyroidism	1	NA	vumc
Alzheimer's disease	Iodine hypothyroidism	1	NA	vumc
Alzheimer's disease	Congenital hypothyroidism	1	NA	vumc
Alzheimer's disease	Thyroiditis, acute and subacute	1	NA	vumc
Alzheimer's disease	Type 1 diabetes with renal manifestations	1	NA	vumc
Alzheimer's disease	Other disorders of pancreatic internal secretion	1	NA	vumc
Alzheimer's disease	Other disorders of neurohypophysis	1	NA	vumc
Alzheimer's disease	Disorders of adrenal glands	1	NA	vumc
Alzheimer's disease	Cushing's syndrome	1	NA	vumc
Alzheimer's disease	Adrenal hypofunction	1	NA	vumc
Alzheimer's disease	Ovarian dysfunction	1	NA	vumc
Alzheimer's disease	Postablative ovarian failure	1	NA	vumc
Alzheimer's disease	Carcinoid syndrome	1	NA	vumc
Alzheimer's disease	Vitamin C deficiencies	1	NA	vumc
Alzheimer's disease	Rickets or osteomalacia	1	NA	vumc
Alzheimer's disease	Other nutritional deficiency	1	NA	vumc
Alzheimer's disease	Failure to thrive (childhood)	1	NA	vumc
Alzheimer's disease	Macroglobulinemia	1	NA	vumc
Alzheimer's disease	Other specified disorders of plasma protein metabolism	1	NA	vumc
Alzheimer's disease	Hypocalcemia	1	NA	vumc
Alzheimer's disease	Other disorders of lipoid metabolism	1	NA	vumc
Alzheimer's disease	Dysmetabolic syndrome X	1	NA	vumc
Alzheimer's disease	Autoimmune disease NEC	1	NA	vumc
Alzheimer's disease	Other immunological findings	1	NA	vumc
Alzheimer's disease	Folate-deficiency anemia	1	NA	vumc
Alzheimer's disease	Autoimmune hemolytic anemias	1	NA	vumc
Alzheimer's disease	Hemolytic-uremic syndrome	1	NA	vumc
Alzheimer's disease	Hypercoagulable state	1	NA	vumc
Alzheimer's disease	Purpura and other hemorrhagic conditions	1	NA	vumc
Alzheimer's disease	Qualitative platelet defects	1	NA	vumc
Alzheimer's disease	Diseases of spleen	1	NA	vumc
Alzheimer's disease	Symptoms involving head and neck	1	NA	vumc
Alzheimer's disease	Schizophrenia and other psychotic disorders	1	NA	vumc
Alzheimer's disease	Schizophrenia	1	NA	vumc
Alzheimer's disease	Posttraumatic stress disorder	1	NA	vumc
Alzheimer's disease	Antisocial/borderline personality disorder	1	NA	vumc
Alzheimer's disease	Somatoform disorder	1	NA	vumc
Alzheimer's disease	Tension headache	1	NA	vumc
Alzheimer's disease	Attention deficit hyperactivity disorder	1	NA	vumc
Alzheimer's disease	Speech and language disorder	1	NA	vumc
Alzheimer's disease	Mental retardation	1	NA	vumc
Alzheimer's disease	Polyneuropathy due to drugs	1	NA	vumc
Alzheimer's disease	Alcoholic liver damage	1	NA	vumc
Alzheimer's disease	Meningitis	1	NA	vumc
Alzheimer's disease	Phlebitis and thrombophlebitis of intracranial venous sinuses	1	NA	vumc
Alzheimer's disease	Hypersomnia	1	NA	vumc
Alzheimer's disease	Organic or persistent insomnia	1	NA	vumc
Alzheimer's disease	Sleep related movement disorders	1	NA	vumc
Alzheimer's disease	Other headache syndromes	1	NA	vumc
Alzheimer's disease	Cataplexy and narcolepsy	1	NA	vumc
Alzheimer's disease	Cerebral edema and compression of brain	1	NA	vumc
Alzheimer's disease	Cerebral cysts	1	NA	vumc
Alzheimer's disease	Facial nerve disorders [CN7]	1	NA	vumc
Alzheimer's disease	Complex regional/central pain syndrome	1	NA	vumc
Alzheimer's disease	Myoneural disorders	1	NA	vumc
Alzheimer's disease	Myasthenia gravis	1	NA	vumc
Alzheimer's disease	Disorders of the globe	1	NA	vumc
Alzheimer's disease	Retinoschisis and retinal cysts	1	NA	vumc
Alzheimer's disease	Retinopathy of prematurity	1	NA	vumc
Alzheimer's disease	Separation of retinal layers	1	NA	vumc
Alzheimer's disease	Toxic maculopathy of retina	1	NA	vumc
Alzheimer's disease	Retinal hemorrhage/ischemia	1	NA	vumc
Alzheimer's disease	Corneal opacity and other disorders of cornea	1	NA	vumc
Alzheimer's disease	Corneal edema	1	NA	vumc
Alzheimer's disease	Fuchs' dystrophy	1	NA	vumc
Alzheimer's disease	Corneal ulcer	1	NA	vumc
Alzheimer's disease	Disorders of conjunctiva	1	NA	vumc
Alzheimer's disease	Ectropion or entropion	1	NA	vumc
Alzheimer's disease	Strabismus (not specified as paralytic)	1	NA	vumc
Alzheimer's disease	Other disorders of eye	1	NA	vumc
Alzheimer's disease	Aphakia and other disorders of lens	1	NA	vumc
Alzheimer's disease	Disorders of iris and ciliary body	1	NA	vumc
Alzheimer's disease	Mastoiditis & related conditions	1	NA	vumc
Alzheimer's disease	Perforation of tympanic membrane	1	NA	vumc
Alzheimer's disease	Cholesteatoma	1	NA	vumc
Alzheimer's disease	Vertiginous syndromes and other disorders of vestibular system	1	NA	vumc
Alzheimer's disease	Disorders of acoustic nerve	1	NA	vumc
Alzheimer's disease	Acute pulmonary heart disease	1	NA	vumc
Alzheimer's disease	Primary pulmonary hypertension	1	NA	vumc
Alzheimer's disease	Myocarditis	1	NA	vumc
Alzheimer's disease	Hypertrophic obstructive cardiomyopathy	1	NA	vumc
Alzheimer's disease	Other heart block	1	NA	vumc
Alzheimer's disease	Other cardiac conduction disorders	1	NA	vumc
Alzheimer's disease	Atrial fibrillation and flutter	1	NA	vumc
Alzheimer's disease	Cardiac arrest	1	NA	vumc
Alzheimer's disease	Supraventricular premature beats	1	NA	vumc
Alzheimer's disease	Cardiac complications, not elsewhere classified	1	NA	vumc
Alzheimer's disease	Intracranial hemorrhage	1	NA	vumc
Alzheimer's disease	Moyamoya disease	1	NA	vumc
Alzheimer's disease	Cerebral aneurysm	1	NA	vumc
Alzheimer's disease	Arterial dissection	1	NA	vumc
Alzheimer's disease	Raynaud's syndrome	1	NA	vumc
Alzheimer's disease	Embolism and thrombosis of abdominal aorta	1	NA	vumc
Alzheimer's disease	Atheroembolism	1	NA	vumc
Alzheimer's disease	Giant cell arteritis	1	NA	vumc
Alzheimer's disease	Thrombotic microangiopathy	1	NA	vumc
Alzheimer's disease	Aortic ectasia	1	NA	vumc
Alzheimer's disease	Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin	1	NA	vumc
Alzheimer's disease	Hemorrhage NOS	1	NA	vumc
Alzheimer's disease	Pneumococcal pneumonia	1	NA	vumc
Alzheimer's disease	MRSA pneumonia	1	NA	vumc
Alzheimer's disease	Other alveolar and parietoalveolar pneumonopathy	1	NA	vumc
Alzheimer's disease	Respiratory arrest	1	NA	vumc
Alzheimer's disease	Lung transplant	1	NA	vumc
Alzheimer's disease	Orthopnea	1	NA	vumc
Alzheimer's disease	Disorders of diaphragm	1	NA	vumc
Alzheimer's disease	Abnormal sputum	1	NA	vumc
Alzheimer's disease	Hemoptysis	1	NA	vumc
Alzheimer's disease	Other diseases of respiratory system, not elsewhere classified	1	NA	vumc
Alzheimer's disease	Other diseases of respiratory system, NEC	1	NA	vumc
Alzheimer's disease	Gingival and periodontal diseases	1	NA	vumc
Alzheimer's disease	Acute periodontitis	1	NA	vumc
Alzheimer's disease	Loss of teeth or edentulism	1	NA	vumc
Alzheimer's disease	Exostosis of jaw	1	NA	vumc
Alzheimer's disease	Other specified diseases of the salivary glands	1	NA	vumc
Alzheimer's disease	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	1	NA	vumc
Alzheimer's disease	Cellulitis and abscess of oral soft tissues	1	NA	vumc
Alzheimer's disease	Diseases of lips	1	NA	vumc
Alzheimer's disease	Ulcer of esophagus	1	NA	vumc
Alzheimer's disease	Peptic ulcer (excl. esophageal)	1	NA	vumc
Alzheimer's disease	Acute gastritis	1	NA	vumc
Alzheimer's disease	Gastroparesis	1	NA	vumc
Alzheimer's disease	Bariatric surgery	1	NA	vumc
Alzheimer's disease	Acute appendicitis	1	NA	vumc
Alzheimer's disease	Abdominal hernia	1	NA	vumc
Alzheimer's disease	Peritoneal adhesions (postoperative) (postinfection)	1	NA	vumc
Alzheimer's disease	Portal hypertension	1	NA	vumc
Alzheimer's disease	Chronic passive congestion of liver	1	NA	vumc
Alzheimer's disease	Liver replaced by transplant	1	NA	vumc
Alzheimer's disease	Cholelithiasis and cholecystitis	1	NA	vumc
Alzheimer's disease	Cholelithiasis with other cholecystitis	1	NA	vumc
Alzheimer's disease	Obstruction of bile duct	1	NA	vumc
Alzheimer's disease	Secondary hyperparathyroidism (of renal origin)	1	NA	vumc
Alzheimer's disease	Chronic interstitial cystitis	1	NA	vumc
Alzheimer's disease	Calculus of lower urinary tract	1	NA	vumc
Alzheimer's disease	Urethral hypermobility/ISD	1	NA	vumc
Alzheimer's disease	Oliguria and anuria	1	NA	vumc
Alzheimer's disease	Acute prostatitis	1	NA	vumc
Alzheimer's disease	Other disorders of prostate	1	NA	vumc
Alzheimer's disease	Peyronie's disease	1	NA	vumc
Alzheimer's disease	Fibrosclerosis of breast	1	NA	vumc
Alzheimer's disease	Benign neoplasm of breast	1	NA	vumc
Alzheimer's disease	Hypertrophy of breast (Gynecomastia)	1	NA	vumc
Alzheimer's disease	Congenital anomalies of breast	1	NA	vumc
Alzheimer's disease	Other signs and symptoms in breast	1	NA	vumc
Alzheimer's disease	Breast disorder NOS	1	NA	vumc
Alzheimer's disease	Uterine/Uterovaginal prolapse	1	NA	vumc
Alzheimer's disease	Vaginal enterocele, congenital or acquired	1	NA	vumc
Alzheimer's disease	Noninflammatory disorders of cervix	1	NA	vumc
Alzheimer's disease	Dysplasia of female genital organs	1	NA	vumc
Alzheimer's disease	Endometrial hyperplasia	1	NA	vumc
Alzheimer's disease	Polyp of corpus uteri	1	NA	vumc
Alzheimer's disease	Dyspareunia	1	NA	vumc
Alzheimer's disease	Disorders of menstruation and other abnormal bleeding from female genital tract	1	NA	vumc
Alzheimer's disease	Irregular menstrual cycle/bleeding	1	NA	vumc
Alzheimer's disease	Ovarian cyst	1	NA	vumc
Alzheimer's disease	Carbuncle and furuncle	1	NA	vumc
Alzheimer's disease	Congenital anomalies of skin	1	NA	vumc
Alzheimer's disease	Vitiligo	1	NA	vumc
Alzheimer's disease	Pemphigus and pemphigoid	1	NA	vumc
Alzheimer's disease	Systemic lupus erythematosus	1	NA	vumc
Alzheimer's disease	Erythema nodosum	1	NA	vumc
Alzheimer's disease	Psoriatic arthropathy	1	NA	vumc
Alzheimer's disease	Keratoderma, acquired	1	NA	vumc
